station_id,station_name,Latitude,Longitude,Elevation,Country
44402,Darchula,29.84286,80.53889,887,Nepal
44404,DADELDHURA,29.3,80.58333333,1848,Nepal
44406,DIPAYAL,29.26209694,80.93690083,563,Nepal
44409,DHANGADHI (ATARIYA),28.8,80.55,187,Nepal
44412,Bajura,29.37999,81.31999,1150,Nepal
44416,SURKHET,28.5878694,81.6351611,683,Nepal
44418,NEPALGUNJ AIRPORT,28.1,81.66666667,165,Nepal
44424,JUMLA,29.27466111,82.17957778,2363,Nepal
44429,DANG,28.0371989,82.484156,663,Nepal
44434,POKHARA AIRPORT,28.188621,84.0169252,794,Nepal
44438,BHAIRAHAWA AIRPORT,27.51666667,83.45,109,Nepal
44449,SIMARA AIRPORT,27.16666667,84.98333333,137,Nepal
44454,KATHMANDU AIRPORT,27.703825,85.35624722,1337,Nepal
44458,Janakpur Airport,26.71075,85.924422,76,Nepal
44462,OKHALDHUNGA,27.3,86.5,1720,Nepal
44474,TAPLEJUNG,27.35,87.66666667,1732,Nepal
44477,DHANKUTA,26.9832027,87.3458829,1192,Nepal
44478,BIRATNAGAR AIRPORT,26.483967,87.267006,72,Nepal
44497,Chandragadhi Airport,26.570391,88.075144,95,Nepal
