station_id,station_name,Latitude,Longitude,Elevation,Country
38683,BUHARA,39.71666667,64.61666667,226.8,Uzbekistan
38685,KARAKUL,39.5,63.85,195.3,Uzbekistan
38692,PAYSHANBA,39.982866,66.234262,461.5,Uzbekistan
38694,NURABAD,39.604922,66.277973,489.9,Uzbekistan
38695,DAGBIT,39.757763,66.915423,645.1,Uzbekistan
38696,SAMARKAND,39.63333333,66.95,724.7,Uzbekistan
38698,PAYARIK,39.993258,66.835832,597.7,Uzbekistan
38699,SHAHRISABZ,39.070378,66.833569,625.3,Uzbekistan
38702,LALMIKOR,39.930372,67.460798,747.5,Uzbekistan
38708,KUL,39.120576,67.526154,2034,Uzbekistan
38711,BAHMAL,39.71666667,68.01666667,1307.6,Uzbekistan
38722,Isfana,39.836111,69.550556,1370,Kyrgyzstan
38742,SHAKHIMARDAN,39.957929,71.771293,1728.3,Uzbekistan
38749,SARYKANDA,39.948283,71.126239,1201,Uzbekistan
38812,KARSHI,38.75,65.71666667,375.8,Uzbekistan
38815,GUZAR,38.61666667,66.26666667,523.7,Uzbekistan
38816,MINCHUKUR,38.65,66.93333333,2131.9,Uzbekistan
38818,AKRABAT,38.254206,66.826856,1599,Uzbekistan
38819,DEHKANABAD,38.348426,66.570113,936.6,Uzbekistan
38827,BAYSUN,38.2,67.2,1241.3,Uzbekistan
38828,SHURCHI,38.0177,67.800265,448.3,Uzbekistan
38829,DENAU,38.26666667,67.9,520.7,Uzbekistan
38871,Sary Tash,39.724327,73.252222,3150,Kyrgyzstan
38921,SHIRABAD,37.66666667,67.01666667,410.5,Uzbekistan
38927,TERMEZ,37.28333333,67.31666667,310.8,Uzbekistan
38999,SARIOSIYO,38.464875,68.004983,636,Uzbekistan
40377,HAFR AL-BATIN,21.198468,51.793703,413,Saudi Arabia
40418,Al Khubar,26.27754,50.21387,11,Saudi Arabia
40721,MARAVEH-TAPPEH,37.8016,55.9433,460,Iran
40723,BOJNOURD,37.4872,57.29861,1075,Iran
40731,GHAZVIN,36.2616,50.0613,1279.1,Iran
40732,RAMSAR,36.9044,50.6833,-20,Iran
40734,NOSHAHR,36.6613,51.4669,-20.9,Iran
40735,Siahbisheh,36.2311,51.303,1855.4,Iran
40736,BABULSAR,36.6986,52.6425,-21,Iran
40737,GHARAKHIL,36.4541,52.7716,14.7,Iran
40738,GORGAN,36.905,54.4136,0,Iran
40739,SHAHRUD,36.3805,54.9297,1325.2,Iran
40740,GHUCHAN,37.1175,58.468,1287,Iran
40741,SARAKHS (40741-0),36.5372,61.1488,278,Iran
40742,Biyarjomand,36.0858,55.8052,1099.3,Iran
40745,MASHHAD,36.2363,59.6311,999.2,Iran
40746,Neyshabur,36.2072,58.82,1213,Iran
40751,Tehran (shemiran),35.7988,51.4852,1549.1,Iran
40752,Karaj,35.8069,50.9538,1292.9,Iran
40754,TEHRAN-MEHRABAD,35.6933,51.3094,1191,Iran
40755,Abali,35.7708,51.9869,2465.2,Iran
40756,Firuzkuh,35.7514,52.736,1976,Iran
40757,SEMNAN,35.5883,53.4213,1127,Iran
40758,Garmsar,35.243,52.3602,899.9,Iran
40760,Kiyasar,36.2488,53.5463,1294.3,Iran
40762,TORBAT-HEYDARIEH,35.3316,59.2058,1451,Iran
40763,KASHMAR,35.2711,58.4733,1109.7,Iran
40770,Qom,34.7747,50.8552,879.1,Iran
40777,Robat karim (IKA Airport),35.4166,51.1666,990.2,Iran
40778,Gonabad,34.35,58.6833,1056,Iran
40785,KASHAN,33.9669,51.4808,955,Iran
40787,Daran,32.9666,50.3666,2290,Iran
40788,Sari,36.6369,53.1952,17,Iran
40789,KHOR,33.77,55.0816,842.2,Iran
40791,TABAS,33.6036,56.9508,711,Iran
40792,FERDOUS,34.0305,58.1841,1293,Iran
40793,Qaen,33.7405,59.1761,1432,Iran
40797,Kuhrang,32.4569,50.125,2365,Iran
40798,SHAHRE-KORD,32.2922,50.8394,2048.9,Iran
40799,Ardestan,33.3555,52.3755,1255.5,Iran
40800,ESFAHAN,32.5175,51.7061,1550.4,Iran
40801,Naein,32.8516,53.0786,1573.7,Iran
40806,Torbat-e-jam,35.2947,60.5647,950.4,Iran
40809,BIRJAND,32.8905,59.2836,1491,Iran
40814,Lordegan,31.503,50.8333,1611,Iran
40818,ABADEH,31.1983,52.6163,2030,Iran
40820,Bafq,31.6288,55.4208,991.3,Iran
40821,YAZD,31.9038,54.2897,1230.2,Iran
40827,NEHBANDAN,31.5419,60.0347,1188,Iran
40829,ZABOL,31.0886,61.543,489.2,Iran
40834,Behbahan,30.6055,50.2172,313,Iran
40835,GACH SARAN DU GUNBADAN,30.3461,50.8191,726,Iran
40836,YASOGE,30.6986,51.555,1816.3,Iran
40841,KERMAN,30.25,56.96666667,1748,Iran
40848,SHIRAZ,29.5613,52.6025,1488,Iran
40849,shahrebabak,30.1,55.1333,1834.1,Iran
40851,SIRJAN,29.4666,55.6833,1739.4,Iran
40853,BAFT,29.2333,56.5833,2280,Iran
40854,BAM,29.0802,58.3522,1067,Iran
40856,ZAHEDAN,29.4722,60.9002,1370,Iran
40857,BUSHEHR,28.9038,50.8211,8.4,Iran
40858,BUSHEHR (AIRPORT),28.963,50.8191,9,Iran
40859,FASA,28.8994,53.7194,1309,Iran
40861,Kazerun,29.6002,51.6513,840,Iran
40863,Hajiabad,28.3119,55.9105,931.2,Iran
40870,Khash,28.2269,61.185,1427,Iran
40872,BANDAR-E-DAYYER,27.8333,51.9333,4,Iran
40873,Lar,27.6713,54.3741,792,Iran
40875,BANDARABBASS,27.2147,56.3727,9.8,Iran
40876,Minab,27.1069,57.0886,29.6,Iran
40877,KAHNUJ,27.9941,57.7113,499,Iran
40878,SARAVAN,27.3902,62.3188,1182,Iran
40879,IRANSHAHR,27.2294,60.7183,591.1,Iran
40880,Qeshm island,26.7519,55.8905,6,Iran
40882,KISH ISLAND,26.5222,53.9822,30,Iran
40883,BANDAR LENGEH,26.5283,54.8283,22.7,Iran
40889,SIRI ISLAND,25.8977,54.5511,4.4,Iran
40890,ABU MUSA,25.8741,55.0133,6.6,Iran
40893,JASK,25.6377,57.7697,5.2,Iran
40897,KONARAK,25.4363,60.3747,30,Iran
40898,CHAHBAHAR,25.2811,60.6511,8,Iran
41150,BAHRAIN (INT. AIRPORT),26.26666667,50.65,2,Bahrain
41151,JARIM,26.48333333,50.58333333,3,Bahrain
41152,HAWAR ISLAND,25.71666667,50.78333333,2,Bahrain
41153,KING FAHAD CAUSEWAY,26.18529,50.33084,6,Bahrain
41154,JABAL AL DUKHAN,26.03333333,50.53333333,135,Bahrain
41155,F1 (FORMULA 1),26.01666667,50.5,5,Bahrain
41156,RAS AL BAR,25.85,50.55,2,Bahrain
41160,AI RUWAIS,26.15,51.2,3,Qatar
41161,ALKHOR AIRPORT,25.61666667,51.51666667,10,Qatar
41162,ALSHEHAIMIYA,25.85,50.96666667,2,Qatar
41164,ALGUWAYRIYAH,25.83333333,51.26666667,17,Qatar
41167,DUKHAN,25.4,50.75,4,Qatar
41170,DOHA INTERNATIONAL AIRPORT,25.25,51.56666667,11,Qatar
41171,QATAR UNIVERSITY,25.38333333,51.48333333,23,Qatar
41173,ALWAKRAH,25.18333333,51.61666667,5,Qatar
41175,ALKARANAA,25,51.03333333,47,Qatar
41176,UMM SAID,24.95,51.56666667,5,Qatar
41177,TURAYNA,24.71666667,51.21666667,45,Qatar
41178,ABU SAMRA,24.75,50.81666667,5,Qatar
41184,RAS AL KHAIMAH INTERNATIONAL AIRPORT,25.61666667,55.93333333,31,United Arab Emirates (UAE)
41194,DUBAI INTERNATIONAL AIRPORT,25.25,55.33333333,8,United Arab Emirates (UAE)
41196,SHARJAH INTERNATIONAL AIRPORT,25.33333333,55.51666667,35,United Arab Emirates (UAE)
41200,DUBAI WORLD CENTRAL-DWC,24.89694444,55.16111111,19,United Arab Emirates (UAE)
41216,ABU DHABI BATEEN AIRPORT,24.43333333,54.46666667,5,United Arab Emirates (UAE)
41217,ABU DHABI INTERNATIONAL AIRPORT,24.43333333,54.65,16,United Arab Emirates (UAE)
41218,AL AIN INTERNATIONAL AIRPORT,24.26666667,55.6,265,United Arab Emirates (UAE)
41240,KHASAB PORT,26.21050056,56.24400022,4,Oman
41242,DIBA,25.61562756,56.24732322,10,Oman
41244,BURAIMI,24.23380989,55.91546911,372,Oman
41245,MADHA,25.29182212,56.34582222,32,Oman
41246,SOHAR MAJIS,24.46744412,56.64442832,2,Oman
41247,SOHAR AIRPORT,24.397556,56.61703011,30,Oman
41248,YANQUL,23.68752212,56.45552211,647,Oman
41249,QUMAIRA,23.93202822,56.20072221,633,Oman
41250,SUNAYNAH,23.72258312,55.90597222,257,Oman
41252,IBRI,23.19541722,56.42944432,323,Oman
41253,RUSTAQ,23.40925022,57.42861121,322,Oman
41254,SAIQ,23.07485822,57.648679,1990,Oman
41255,NIZWA,22.85907522,57.54629432,462,Oman
41256,MUSCAT INT'L AIRPORT,23.60867321,58.26145921,2,Oman
41257,SAMAIL,23.25444111,57.92753211,430,Oman
41258,Sultan Qaboos Port,23.62745312,58.57241401,2,Oman
41260,SHINAS,24.73007201,56.46006022,2,Oman
41261,MHADHA,24.53802212,56.04901122,560,Oman
41262,FAHUD AIRPORT,22.34753522,56.49026078,167,Oman
41264,ADAM AIRPORT,22.49982422,57.37,328,Oman
41265,IBRA,22.80955456,58.46051178,516,Oman
41266,SAHAM,24.15052002,56.83560221,18,Oman
41267,QALHAT,22.66540012,59.40191712,11,Oman
41268,SUR,22.51543512,59.43368522,41,Oman
41269,AL AWABI,23.33385401,57.50338212,445,Oman
41270,RAS AL HADD,22.30122811,59.81748012,43,Oman
41271,LIWA,24.51532121,56.54041112,23,Oman
41272,SUWAIQ,23.82651922,57.28013122,39,Oman
41274,KHABOURAH,23.95170012,57.06870002,19,Oman
41275,Ghaba Qarn Alam Airport,21.37545012,57.05363421,133,Oman
41276,UMZAMAIM,20.79472222,57.11650022,128,Oman
41278,MUSCAT CITY,23.563345,58.60180911,49,Oman
41279,BAWSHAR,23.48438011,58.254351,145,Oman
41280,AL AMERAT,23.500811,58.480835,105,Oman
41282,AL HAMRA,23.09502001,57.34350002,822,Oman
41284,IZKI,22.89150021,57.76460001,508,Oman
41285,BID BID,23.459,58.1666,119,Oman
41286,WADI AL MAAWIL,23.50296801,57.856301,170,Oman
41287,JOBA MHOUT,20.86796711,58.24750532,35,Oman
41288,MASIRAH,20.67150912,58.88894922,19,Oman
41290,BUKHA,26.14014122,56.14352221,21,Oman
41291,DUQM AIRPORT,19.50937221,57.65608222,104,Oman
41292,AL MUDHAIBI,22.51152821,58.12472222,378,Oman
41293,BIDIYA,22.46282856,58.85467589,316,Oman
41295,YAALONI,19.94433333,57.10255622,156,Oman
41297,WADI BANI KHALID,22.602895,59.07466411,629,Oman
41298,AL QABIL,22.595238,58.64821901,356,Oman
41299,DAMA WA ATTAIYYIN,23.05967002,58.59149112,367,Oman
41301,HAIMA,20.05786178,56.38325033,146,Oman
41302,AL JAZIR,18.58290012,56.58760221,6,Oman
41304,MARMUL AIRPORT,18.14107822,55.18047012,273,Oman
41306,DHALQUT,16.712211,53.213248,784,Oman
41307,TAQAH,17.041878,54.35173,24,Oman
41308,MUQSHIN,19.565554,54.885575,132,Oman
41309,MIRBAT,16.96587611,54.773216,16,Oman
41310,SHALIM,17.88866211,55.62589111,6,Oman
41311,AL MAZYUNAH,17.83870111,52.6472832,513,Oman
41312,MINA SALALAH,16.93450012,54.00825023,25,Oman
41314,THUMRAIT,17.68099422,54.02413122,448,Oman
41315,QAIROON HAIRITI,17.25274322,54.08909112,881,Oman
41316,SALALAH AIRPORT,17.034636,54.07368422,20,Oman
41317,AL HALLANIYYAT,17.497136,55.96486221,3,Oman
41318,SADAH,17.100482,55.056317,88,Oman
41506,CHITRAL,35.85,71.83333333,1499,Pakistan
41508,DIR,35.2,71.85,1369,Pakistan
41515,DROSH,35.56666667,71.78333333,1464,Pakistan
41516,GILGIT,35.91666667,74.33333333,1453,Pakistan
41517,SKARDU,35.3,75.68333333,2180,Pakistan
41518,BUNJI,35.66666667,74.63333333,1469,Pakistan
41519,CHILLAS,35.41666667,74.1,1249,Pakistan
41523,SAIDU SHARIF,34.73333333,72.35,950,Pakistan
41529,PESHAWAR,34.03333333,71.93333333,329,Pakistan
41531,BATTAL,34.58333333,73.15,1676,Pakistan
41532,MUZAFFAR ABAD,34.36666667,73.48333333,2301,Pakistan
41533,RISALPUR,34.06666667,71.98333333,315,Pakistan
41534,AGROMET OBSERVATORY FFWS MARDAN,34.31,71.52,356,Pakistan
41535,KAKUL,34.18333333,73.25,1308,Pakistan
41536,BALAKOT,34.38333333,73.35,980,Pakistan
41560,PARACHINAR,33.86666667,70.08333333,1725,Pakistan
