station_id,station_name,Latitude,Longitude,Elevation,Country
38001,FORT SHEVCHENKO,44.55,50.25,-25,Null
38750,ESENGYLY,37.467,53.967,-22,Null
37259,MAHACHKALA,43,47.5,-19.7,Null
37985,LANKARAN,38.733,48.833,-11,Null
03368,LALMANIR HAT,25.88,89.43,0,Null
03369,BARAKPUR,22.77,88.37,0,Null
05455,MALIKU,8.28,73.05,0,Null
05791,BAIT AL FALAJ,23.6,58.55,0,Null
05801,GWADAR,25.13,62.32,0,Null
48864,CHU LAI,15.4167,108.7,0,Null
48453,BANGNA AGROMET,13.6664,100.6061,0.8,Null
43369,MINICOY,8.3,73.15,0.9,Null
43353,COCHIN (IN-NAVY),9.9333,76.2333,1,Null
48914,CA MAU,9.1833,105.15,1,Null
43555,MALE,4.1917,73.5292,1.7,Null
40427,BAHRAIN/MUHARRAQ,26.267,50.617,2,Null
40689,BASRAH-HUSSEN,30.517,47.783,2,Null
41992,COX'S BAZAR,21.4333,91.9333,2,Null
43424,PUTTALAM,8.0333,79.8333,2,Null
48902,BARIA (PHUOC LE),10.5,107.1667,2,Null
96147,RANAI,3.95,108.3833,2,Null
96471,KOTA KINABALU,5.9333,116.05,2,Null
43311,AMINIDIVI,11.1167,72.7333,2.7,Null
48480,CHANTHA BURI,12.6094,102.1039,2.9,Null
40676,NASIRIYA,31.017,46.233,3,Null
41480,ADEN,12.833,45.033,3,Null
41950,BARISAL,22.75,90.3667,3,Null
43185,MACHILIPATNAM/FRANCHPET,16.2,81.15,3,Null
43413,MANNAR,8.9833,79.9167,3,Null
46810,DONGSHA (=597920),20.7167,116.7167,3,Null
48109,COCO ISLAND,14.117,93.367,3,Null
48601,PENANG/BAYAN LEPAS,5.3,100.2667,3,Null
48877,NHA TRANG,12.2167,109.2167,3,Null
62641,PORT SUDAN,19.583,37.217,3,Null
96073,SIBOLGA/PINANGSORI,1.55,98.8833,3,Null
96145,TAREMPA,3.2,106.25,3,Null
96323,KUALA BELAIT,4.583,114.2,3,Null
96441,BINTULU,3.2,113.0333,3,Null
05467,SHARJAH,25.25,55.37,4,Null
17030,SAMSUN,41.2833,36.3,4,Null
41169,HAMAD INTERNATIONAL AIRPORT,25.2731,51.6081,4,Null
41759,PASNI,25.2667,63.4833,4,Null
43475,POTTUVIL,6.8833,81.8333,4,Null
48062,SITTWE,20.133,92.883,4,Null
48455,BANGKOK METROPOLIS,13.733,100.567,4,Null
48500,PRACHUAP KHIRIKHAN,11.835,99.8103,4,Null
48602,BUTTERWORTH AB,5.467,100.383,4,Null
48870,QUY NHON,13.7667,109.2167,4,Null
59316,SHANTOU,23.35,116.6667,4,Null
48568,SONGKHLA,7.1819,100.6075,4.6,Null
05433,CHATTAGRAM,22.25,91.82,5,Null
05473,VENGURLA,15.85,73.63,5,Null
41768,CHHOR,25.5167,69.7833,5,Null
46902,NENSHA ISL,10.717,115.833,5,Null
48551,SURAT THANI,9.1342,99.1519,5,Null
48615,KOTA BHARU,6.1667,102.2833,5,Null
48698,SINGAPORE/CHANGI AIRPORT,1.3667,103.9833,5,Null
48820,HA NOI,21.0333,105.8,5,Null
48845,VINH,18.6667,105.6833,5,Null
48900,TAN SON HOA,10.8167,106.6667,5,Null
48913,BA-XUYEN/SOC TRANG,9.6,105.967,5,Null
59501,SHANWEI,22.783,115.367,5,Null
59981,XISHA DAO,16.8333,112.3333,5,Null
48565,PHUKET AIRPORT,8.145,98.3144,5.9,Null
41936,JESSORE,23.1833,89.1667,6,Null
41943,FENI,23.0333,91.4167,6,Null
42809,KOLKATA/DUM DUM,22.65,88.45,6,Null
42909,VERAVAL,20.9,70.367,6,Null
48860,HOANG SA (PATTLE),16.55,111.617,6,Null
96075,GUNUNG SITOLI/BINAKA,1.2667,97.6,6,Null
96509,TARAKAN/JUWATA,3.3333,117.5667,6,Null
43346,KARAIKAL,10.9167,79.8333,6.9,Null
40022,LATTAKIA,35.533,35.767,7,Null
41140,GIZAN,16.883,42.583,7,Null
43466,COLOMBO,6.9,79.8667,7,Null
48620,SITIAWAN,4.2167,100.7,7,Null
48855,DA NANG,16.0667,108.35,7,Null
41923,DHAKA,23.7667,90.3833,8,Null
48532,RANONG,9.983,98.617,8,Null
48887,PHAN THIET,10.9333,108.1,8,Null
59838,DONGFANG,19.1,108.617,8,Null
41256,MUSCAT INT'L AIRPORT,23.5953,58.2983,8.4,Null
48080,SANDOWAY,18.467,94.35,9,Null
05786,ALIPORE,22.53,88.4,10,Null
05797,DACCA,23.62,90.05,10,Null
05800,DIAMOND HARBOUR,22.18,88.18,10,Null
40875,BANDARABBASS,27.2167,56.3667,10,Null
42840,SURAT,21.2,72.8333,10,Null
43368,CAR NICOBAR,9.15,92.81,10,Null
48094,PATHEIN,16.767,94.767,10,Null
58040,GANYU,34.85,119.133,10,Null
96491,SANDAKAN,5.9,118.0667,10,Null
03992,AN LOC,10.83,106.97,11,Null
48426,LOP BURI,14.8,100.617,11,Null
48851,QUANG TRI,16.7333,107.1833,11,Null
46736,CHINMEM/SHATOU(AFB),24.433,118.433,12,Null
48456,DON MUANG,13.917,100.6,12,Null
48896,BIEN HOA (VVBH),10.9667,106.8167,12,Null
54539,LETING,39.4333,118.9,12,Null
59137,CHIANGYANG,24.3,118.083,12,Null
41907,ISHWARDI,24.1333,89.05,13,Null
98618,PUERTO PRINCESA,9.7403,118.7586,13,Null
43279,CHENNAI/MINAMBAKKAM,13,80.1833,13.7,Null
48097,YANGON,16.7667,96.1667,14,Null
43003,BOMBAY / SANTACRUZ,19.1167,72.85,14.2,Null
37747,EVLAKH AIRPORT,40.617,47.15,15,Null
41024,JEDDAH,21.7,39.1833,15,Null
48657,KUANTAN,3.7833,103.2167,15,Null
96535,PALOH,1.7667,109.3,15,Null
41217,ABU DHABI INTERNATIONAL AIRPOR,24.4333,54.65,16,Null
42724,AGARTALA,23.8833,91.25,16,Null
48108,DAWEI,14.1,98.2167,16,Null
48477,SATTAHIP,12.6914,100.9853,16,Null
59644,BEIHAI,21.4833,109.1,16,Null
43049,GOPALPUR,19.2667,84.8833,16.4,Null
48852,HUE/PHU BAI,16.4,107.6833,17,Null
54602,BAODING,38.733,115.483,17,Null
41883,BOGRA,24.85,89.3667,18,Null
